gdp_deflator,net_capital_export,average_provision_of_build_contract_moscow,deposits_rate,mortgage_growth,grp,grp_growth,income_per_cap,real_dispos_income_per_cap_growth,salary,salary_growth,retail_trade_turnover,retail_trade_turnover_per_cap,retail_trade_turnover_growth,labor_force,unemployment,employment,invest_fixed_capital_per_cap,invest_fixed_assets,profitable_enterpr_share,unprofitable_enterpr_share,share_own_revenues,overdue_wages_per_cap,fin_res_per_cap,marriages_per_1000_cap,divorce_rate,construction_value,invest_fixed_assets_phys,pop_natural_increase,pop_migration,pop_total_inc,childbirth,mortality,housing_fund_sqm,lodging_sqm_per_cap,water_pipes_share,baths_share,sewerage_share,gas_share,hot_water_share,electric_stove_share,heating_share,old_house_share,average_life_exp,infant_mortarity_per_1000_cap,perinatal_mort_per_1000_cap,incidence_population,rent_price_4+room_bus,rent_price_3room_bus,rent_price_2room_bus,rent_price_1room_bus,rent_price_3room_eco,rent_price_2room_eco,rent_price_1room_eco,load_of_teachers_preschool_per_teacher,child_on_acc_pre_school,load_of_teachers_school_per_teacher,students_state_oneshift,modern_education_share,old_education_build_share,provision_doctors,provision_nurse,load_on_doctors,power_clinics,hospital_beds_available_per_cap,hospital_bed_occupancy_per_year,provision_retail_space_sqm,provision_retail_space_modern_sqm,turnover_catering_per_cap,theaters_viewers_per_1000_cap,seats_theather_rfmin_per_100000_cap,museum_visitis_per_100_cap,bandwidth_sports,population_reg_sports_share,students_reg_sports_share,apartment_build,apartment_fund_sqm,timestamp,average_provision_of_build_contract,gdp_annual_growth,cpi,deposits_value,fixed_basket,micex,gdp_quart,mortgage_value,micex_cbi_tr,balance_trade_growth,balance_trade,ppi,usdrub,brent,deposits_growth,oil_urals,eurrub,gdp_annual,rts,gdp_quart_growth,micex_rgbi_tr,mortgage_rate
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.03824030196257,1.03824030196257,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-20,5.76,0.045037137000000005,354.0,10618898,12838.36,1438.74,14313.7,323275,204.78,10.1,15.459000000000001,420.7,29.0048,108.62,0.009740346,109.31,41.7681,46308.5,1575.33,3.3,131.16,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.0333693562200201,1.0333693562200201,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-21,5.76,0.045037137000000005,354.0,10618898,12838.36,1438.74,14313.7,323275,204.78,10.1,15.459000000000001,420.7,29.0048,108.62,0.009740346,109.31,41.7681,46308.5,1575.33,3.3,131.16,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.02827729580517,1.02827729580517,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-22,5.76,0.045037137000000005,354.0,10618898,12838.36,1443.93,14313.7,323275,204.91,10.1,15.459000000000001,420.7,29.1005,108.36,0.009740346,109.31,41.87,46308.5,1578.45,3.3,131.31,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.02799168753209,1.02799168753209,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-23,5.76,0.045037137000000005,354.0,10618898,12838.36,1444.11,14313.7,323275,204.92,10.1,15.459000000000001,420.7,28.9525,109.31,0.009740346,109.31,41.7537,46308.5,1578.91,3.3,131.45,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.0276606988899202,1.0276606988899202,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-24,5.76,0.045037137000000005,354.0,10618898,12838.36,1461.62,14313.7,323275,204.96,10.1,15.459000000000001,420.7,28.9506,110.15,0.009740346,109.31,41.7409,46308.5,1601.03,3.3,131.29,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.02736269608096,1.02736269608096,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-25,5.76,0.045037137000000005,354.0,10618898,12838.36,1442.51,14313.7,323275,204.96,10.1,15.459000000000001,420.7,28.9342,110.62,0.009740346,109.31,41.5769,46308.5,1583.97,3.3,131.13,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.02214086271403,1.02214086271403,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-26,5.76,0.045037137000000005,354.0,10618898,12838.36,1458.84,14313.7,323275,204.84,10.1,15.459000000000001,420.7,28.8082,111.36,0.009740346,109.31,41.7114,46308.5,1596.17,3.3,131.08,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.01697458620445,1.01697458620445,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-27,5.76,0.045037137000000005,354.0,10618898,12838.36,1458.84,14313.7,323275,204.84,10.1,15.459000000000001,420.7,28.8082,111.36,0.009740346,109.31,41.7114,46308.5,1596.17,3.3,131.08,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.0122901186141802,1.0122901186141802,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-28,5.76,0.045037137000000005,354.0,10618898,12838.36,1458.84,14313.7,323275,204.84,10.1,15.459000000000001,420.7,28.8082,111.36,0.009740346,109.31,41.7114,46308.5,1596.17,3.3,131.08,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.00794335381168,1.00794335381168,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-29,5.76,0.045037137000000005,354.0,10618898,12838.36,1512.36,14313.7,323275,205.04,10.1,15.459000000000001,420.7,28.791999999999998,111.88,0.009740346,109.31,41.7637,46308.5,1667.66,3.3,131.34,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.00894323820599,1.00894323820599,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-30,5.76,0.045037137000000005,354.0,10618898,12838.36,1514.1,14313.7,323275,205.09,10.1,15.459000000000001,420.7,28.9127,114.02,0.009740346,109.31,41.6961,46308.5,1662.35,3.3,131.54,11.84
86.721,0.301810526,6.74,4.1,1.051914337,9948.7728,0.18779066100000003,42688.6,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,136.11,77.93,62.89,47.85,41.8,36.77,29.07,793.3195607000001,#!,1391.7109380000002,89.0495,1.01040222204243,1.01040222204243,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-08-31,5.76,0.045037137000000005,354.0,10618898,12838.36,1546.05,14313.7,323275,205.42,10.1,15.459000000000001,420.7,28.8287,114.85,0.009740346,109.31,41.5207,46308.5,1702.28,3.3,131.57,11.84
86.721,0.599708879,6.74,4.0,1.0495427640000001,9948.7728,0.18779066100000003,40311.3,-0.005,44898.7,0.16891735300000002,3322.047,286.952,106.6,6643.626,0.013999999999999999,0.708,73976.19863,856.4240789999999,0.708,0.292,0.891477685,53636.0,226.2141565,8.5,3.8,549075.8,106.6,1.1,5.1,6.2,10.8,9.7,218.0,18.77206579,99.9,99.8,99.5,43.9,95.7,55.3,99.9,0.3,75.79,6.2,5.53,715.1,155.22,94.02,66.28,51.15,44.25,37.73,30.63,793.3195607000001,#!,1391.7109380000002,89.0495,1.01234685021955,1.01234685021955,65.9,99.6,8180.755454000001,375.8,846.0,302.0,741.0,271.0,6943.0,565.0,0.45356,1240.0,269768.0,22.37,64.12,23587.0,230310.0,2011-09-01,5.76,0.045037137000000005,353.2,10720911,12856.97,1551.58,14313.7,386388,205.42,10.1,15.386,434.4,28.9655,114.29,0.009606741,111.29,41.4014,46308.5,1703.86,3.3,131.45,11.92
